modelId,make,model,year,warrantyBasic,warrantyBattery,trimName,msrp,drivetrain,range,mpge,batteryKwh,dcfcKw,zeroToSixty,cargo,length,wheelbase,comfort,priceFlag
niro,Kia,Niro EV,2026,5/60,10/100 (inferred from Kia’s general EV policy — not model-specific),Wind,39700,FWD,253,113,64.8,85,7.1,63.7,174,107,Heated front seats standard | 10-way power driver seat,FALSE
niro,Kia,Niro EV,2026,5/60,10/100 (inferred from Kia’s general EV policy — not model-specific),Wave,44700,FWD,253,113,64.8,85,7.1,63.7,174,107,Adds ventilated front seats | Driver memory seat | Heated outboard rear seats,FALSE
bz,Toyota,bZ,2026,3/36,8/100 · 5/60 powertrain,XLE,34900,FWD,236,130,57.7,150,8,27.7,184.6,112.2,Heated front seats standard | Heated steering wheel standard,FALSE
bz,Toyota,bZ,2026,3/36,8/100 · 5/60 powertrain,XLE Plus,37900,FWD,314,131,74.7,150,6.5,27.7,184.6,112.2,Heated front seats standard | Heated steering wheel standard,FALSE
bz,Toyota,bZ,2026,3/36,8/100 · 5/60 powertrain,Limited,43300,AWD,278,117,74.7,150,4.6,27.7,184.6,112.2,Ventilated SofTex front seats | Heated rear seats | Panoramic moonroof,FALSE
chr,Toyota,C-HR,2026,3/36 (Toyota's standard basic warranty — not independently confirmed model-specific for C-HR),8/100 (EV components; separate powertrain term not confirmed),SE,37000,AWD,287,,74.7,150,4.9,25.3,177.9,108.3,Heated front seats standard | Heated steering wheel standard | No ventilated seats available on either trim,FALSE
chr,Toyota,C-HR,2026,3/36 (Toyota's standard basic warranty — not independently confirmed model-specific for C-HR),8/100 (EV components; separate powertrain term not confirmed),XSE,39000,AWD,273,,74.7,150,4.9,25.3,177.9,108.3,Adds SofTex-trim seats | Power passenger seat | Driver memory settings,FALSE
solterra,Subaru,Solterra,2026,3/36 (US term not independently confirmed),8/100,Premium,38495,AWD,288,120,74.7,150,,23.8,184.6,112.2,Heated front seats standard,FALSE
solterra,Subaru,Solterra,2026,3/36 (US term not independently confirmed),8/100,Limited,41395,AWD,288,120,74.7,150,,23.8,184.6,112.2,Adds heated rear outboard seats,FALSE
solterra,Subaru,Solterra,2026,3/36 (US term not independently confirmed),8/100,Limited XT,42895,AWD,278,117,74.7,150,4.9,23.8,184.6,112.2,Uprated 338hp motor | Heated front &amp; rear seats,FALSE
ioniq5,Hyundai,Ioniq 5,2026,5/60,8/100 · 10/100 powertrain,SE Standard Range,35000,RWD,245,115,63,350,8.5,26.3,183.3,118.1,Heated front seats standard | Cloth seating,FALSE
ioniq5,Hyundai,Ioniq 5,2026,5/60,8/100 · 10/100 powertrain,SE,37500,RWD,318,114,84,350,7.4,26.3,183.3,118.1,Heated front seats standard | Cloth seating,FALSE
ev6,Kia,EV6,2026,5/60,10/100 (Kia standard EV coverage),Light,37900,RWD,237,115,63,,8.3,24.4,184.8,114.2,Heated front seats standard,FALSE
ev6,Kia,EV6,2026,5/60,10/100 (Kia standard EV coverage),Light Long Range,41200,RWD,319,115,84,,7.3,24.4,184.8,114.2,Heated front seats standard,FALSE
ex30,Volvo,EX30,2026,4/50 (covers powertrain),8/100,"Plus, Single Motor",38950,RWD,261,116,64,153,5.1,27.8,166.7,104.3,Heated seats/wheel optional ($500 pkg) — not standard,FALSE
machE,Ford,Mustang Mach-E,2026,3/36,8/100 (70% capacity floor) · 5/60 powertrain,Select RWD,37795,RWD,240,,73,150,,59.1,185.6,117.5,No heated seats standard (optional Comfort Pkg),FALSE
machE,Ford,Mustang Mach-E,2026,3/36,8/100 (70% capacity floor) · 5/60 powertrain,Select AWD,40795,AWD,,,73,150,,59.1,185.6,117.5,No heated seats standard (optional Comfort Pkg),FALSE
machE,Ford,Mustang Mach-E,2026,3/36,8/100 (70% capacity floor) · 5/60 powertrain,Premium RWD,40595,RWD,320,,88,150,,59.1,185.6,117.5,Heated &amp; ventilated front seats standard | Heated steering wheel,FALSE
machE,Ford,Mustang Mach-E,2026,3/36,8/100 (70% capacity floor) · 5/60 powertrain,Premium AWD,43595,AWD,,,88,150,,59.1,185.6,117.5,Heated &amp; ventilated front seats standard | Heated steering wheel,FALSE
modely,Tesla,Model Y,2026,4/50,8/100–120 (mileage may vary by pack; not confirmed for Standard),Standard RWD,39990,RWD,321,138,,250,6.8,76,188.9,113.8,Heated front seats standard | Ventilated/heated rear seats not confirmed for this trim,FALSE
modely,Tesla,Model Y,2026,4/50,8/100–120 (mileage may vary by pack; not confirmed for Standard),Standard AWD,41990,AWD,294,,,250,4.6,76,188.9,113.8,Heated front seats standard | Ventilated/heated rear seats not confirmed for this trim,FALSE
uncharted,Subaru,Uncharted,2026,3/36,8/100 · 5/60 powertrain,Premium,34995,FWD,308,129,74.7,150,,25.4,177.9,108.3,Heated front seats standard (All-Weather Package),FALSE
uncharted,Subaru,Uncharted,2026,3/36,8/100 · 5/60 powertrain,Sport,39795,AWD,285,117,74.7,150,4.7,25.4,177.9,108.3,Heated front seats standard (All-Weather Package),FALSE
uncharted,Subaru,Uncharted,2026,3/36,8/100 · 5/60 powertrain,GT,43795,AWD,273,112,74.7,150,4.7,25.4,177.9,108.3,Adds ventilated front seats | Heated rear outboard seats,FALSE
leaf,Nissan,Leaf,2026,3/36,8/100 · 5/60 powertrain,S+,29990,FWD,303,121,75,150,7.1,23.6,,,"Cloth seats, 6-way manual — no heating standard",FALSE
leaf,Nissan,Leaf,2026,3/36,8/100 · 5/60 powertrain,SV+,34230,FWD,288,114,75,150,7.1,23.6,,,Heated front seats standard | 8-way power driver seat | First trim with rear climate vents,FALSE
leaf,Nissan,Leaf,2026,3/36,8/100 · 5/60 powertrain,Platinum+,38990,FWD,259,103,75,150,7.1,23.6,,,Heated front &amp; rear seats standard | Heated steering wheel,FALSE
vf8,VinFast,VF8,2026,10/125,10yr / unlimited miles (to ~70% capacity floor),Eco,39900,AWD,256,73,87.7,110,5.9,13.2,187,116.1,Heated front seats standard | Head-up display standard,FALSE
vf8,VinFast,VF8,2026,10/125,10yr / unlimited miles (to ~70% capacity floor),Plus,44900,AWD,235,80,87.7,150,5.8,13.2,187,116.1,Heated front seats standard | Head-up display standard,FALSE
equinox,Chevrolet,Equinox EV,2026,3/36,8/100,LT1,34995,FWD,319,108,85,150,7.7,26.4,190.6,116.3,Heated front seats/steering wheel available via Comfort Package — not standard,FALSE
equinox,Chevrolet,Equinox EV,2026,3/36,8/100,LT2,41795,FWD,319,108,85,150,7.7,26.4,190.6,116.3,Heated front seats standard | Heated steering wheel standard | Power driver’s seat with lumbar,FALSE
equinox,Chevrolet,Equinox EV,2026,3/36,8/100,RS,44095,FWD,319,108,85,150,,26.4,190.6,116.3,Heated front seats &amp; steering wheel standard | Ventilated front seats &amp; dual-zone climate via Convenience Package II,TRUE
prologue,Honda,Prologue,2026,3/36,8/100,EX,39900,FWD,308,104,85,,,25.2,192,121.8,"Heated front seats standard | Dual-zone climate standard | 8-way power driver seat — cloth upholstery, no ventilated seats (Touring/Elite exclusive)",FALSE
id4,Volkswagen,ID.4,2026,4/50,8/100,Pro RWD,45095,RWD,291,,77,175,,30.3,180.5,108.9,Heated front seats standard | Wireless phone charging standard | No heat pump offered on any US trim (Europe-only feature),FALSE
