modelId,usedPrice,sales2025,lowAvail,availNote,trimNameOverride
niro,26969,,FALSE,,
bz,23230,15609,FALSE,,
solterra,27400,10715,FALSE,,
ioniq5,27400,47039,FALSE,,
ev6,28000,12933,FALSE,,
ex30,27780,5409,TRUE,"5,409 US units sold in 2025 (its first US model year) — the lowest of any model here, and Volvo has since announced it is ending US EX30 sales, so this population won’t grow. See Methodology.",
machE,33090,51620,FALSE,,
modely,37090,345000,FALSE,,Long Range
vf8,31040,,TRUE,797 VF8 registrations in the US in just H1 2025 (fullest figure published) — by far the thinnest 2025 population on this list. See Methodology.,
equinox,20600,57945,FALSE,,LT1
